2026-05-20 10:01:57.531 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: Layout
2026-05-20 10:01:57.545 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing 2 metadata types
2026-05-20 10:01:57.546 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:01:57.546 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexTrigger
2026-05-20 10:01:57.609 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing all metadata types from org
2026-05-20 10:01:57.616 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:01:57.618 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: CustomObject
2026-05-20 10:01:57.618 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 2 total components across 2 metadata types
2026-05-20 10:01:57.622 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 2 components for type: ApexClass
2026-05-20 10:01:57.626 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: Report in folder: MyFolder
2026-05-20 10:01:57.629 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: ApexTrigger
2026-05-20 10:01:57.635 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing all metadata types from org
2026-05-20 10:01:57.636 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:01:57.637 [main] WARN  org.solenopsis.metadata.list.ListMetadata - Failed to list metadata type: BadType - Type not found
2026-05-20 10:01:57.638 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 1 total components across 2 metadata types
2026-05-20 10:01:57.642 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: CustomObject
2026-05-20 10:01:57.662 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 2 metadata types
2026-05-20 10:01:57.666 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:01:57.668 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:01:57.671 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:01:57.712 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:01:57.714 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 100 components for type: ApexClass
2026-05-20 10:01:57.715 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 75 components for type: Layout
2026-05-20 10:01:57.716 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 50 components for type: CustomObject
2026-05-20 10:01:57.718 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 225 components across 3 types
2026-05-20 10:01:57.722 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 0 metadata types
2026-05-20 10:01:57.723 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:01:57.727 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:01:57.729 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:01:57.730 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:01:57.731 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:01:57.747 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:01:57.749 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 10 components for type: Type1
2026-05-20 10:01:57.750 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 20 components for type: Type2
2026-05-20 10:01:57.751 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: Type3
2026-05-20 10:01:57.751 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 15 components for type: Type4
2026-05-20 10:01:57.752 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 8 components for type: Type5
2026-05-20 10:01:57.752 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 58 components across 5 types
2026-05-20 10:01:57.758 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:01:57.759 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:01:57.764 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:01:57.766 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 2 components for type: ApexClass
2026-05-20 10:01:57.766 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: CustomObject
2026-05-20 10:01:57.767 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 3 components across 2 types
2026-05-20 10:01:57.776 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 2 metadata types
2026-05-20 10:01:57.779 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 10 components for type: ApexClass
2026-05-20 10:01:57.780 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 20 components for type: CustomObject
2026-05-20 10:01:57.780 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 30 components across 2 types
2026-05-20 10:01:57.817 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:01:57.823 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Structure validation complete: 1 errors, 0 warnings
2026-05-20 10:01:57.828 [main] INFO  o.solenopsis.metadata.validation.PackageValidator - Validating package against org
